location,event,duration,category
W Singapore,"Unlock up to 57% in savings with our exclusive hotel packages

Discover the perfect getaway tailored to every traveler, offering everything from breathtaking scenic views to fun activities for all ages, your stay promises both relaxation and adventure. Book your dream escape today! Hotel Package: 3D2N W Singapore - Sentosa Cove Stay & Discover
Choose from one of the following options:
1) 3D2N W Singapore Sentosa Cove (Wonderful Room) + Universal Studios Singapore (x2 adult tickets)
2) 3D2N W Singapore Sentosa Cove (Wonderful Room) + Fun Discovery Pass 130 Tokens",30 Sep 2024 - 31 Mar 2025,promotion
Amara Sanctuary Sentosa,"Unlock up to 57% in savings with our exclusive hotel packages

Discover the perfect getaway tailored to every traveler, offering everything from breathtaking scenic views to fun activities for all ages, your stay promises both relaxation and adventure. Book your dream escape today! Hotel Package: 3D2N Amara Sanctuary Sentosa Stay & Discover
Choose from one of the following options:
1) 3D2N Amara Sanctuary Sentosa (Deluxe Room) + Universal Studios Singapore (x2 adult tickets)
2) 3D2N Amara Sanctuary Sentosa (Deluxe Room) + Fun Discovery Pass 130 Tokens",30 Sep 2024 - 31 Mar 2025,promotion
Sanctuary Tearoom,"1-for-1 Grill N' Chill Dinner Buffet at Sanctuary Tearoom
01 Sep 2024 - 31 Oct 2024
Indulge in a sizzling weekend with a 1-for-1 Grill N’ Chill Buffet Dinner at $138++ per adult . Immerse yourself in the serenity of lush greenery as you enjoy a wide selection of barbecued seafood and meats! Highlights include  Grilled Wagyu Steak with Cajun Spices, Satay Pork Belly, Sambal Stingray, Sichuan-style Grilled Giant Squid, Maine Lobster Claw, Peri Peri Prawn, an array of sweet indulgences and more. Available every Friday, Saturday and Sunday, 6.00pm to 10.00pm",01 Sept 2024 - 31 Oct 2024,promotion
S.E.A. Aquarium,"Kids receive a complimentary plush keychain with every visit they make to the S.E.A. Aquarium from 1 Sep to 30 Nov!

Let your kids go on a marine adventure with a friendly octopus, smiley sea jelly or an adorable manta ray as they learn about the real-life counterparts of their new buddies in our immersive aquarium. 

Promotion includes:
• 1 x S.E.A. Aquarium Child One-Day Ticket (ages 4 to 12 years old)
• 1 x Plush Keychain (Choose between manta ray, sea jelly and octopus)*

*Redeemable at SEAA Treasures during park operating hours on the ticketed date of visit. While stocks last.",27 Aug 2024 - 30 Nov 2024,promotion
Splash Tribe,"Splash Up an Evening with No Cover Charge at Splash Tribe

31 Jul 2024 - 31 Dec 2024
Transform evenings into a feast of joy, laughter and great food at Splash Tribe. Add waves of delight to your evenings with no cover charge required for everyone from 5pm daily.

Play, dip and dine with crowd-pleasing food and beverages available for a scrumptious dinner by the beach. Whether you’re in the mood for grilled seafood, hearty burgers, kids’ specials or vibrant salads, Splash Tribe has something to tickle everyone’s palate.

Breeze down slides at the sandcastle-themed water play area or sit back and relax as the sun sets, creating unforgettable memories with loved ones over a leisurely night out.
",31 Jul 2024 - 31 Dec 2024,promotion
iFly Singapore,Enjoy up to 29% off iFly Singapore tickets,Until 31 Mar 2025,promotion
Singapore Cable Car Sky Network,_Enjoy 20% off Cable Car Sky Pass (Round Trip) tickets,Until 31 Mar 2025,promotion
SkyHelix Sentosa,Enjoy 10% off SkyHelix Sentosa tickets,Until 31 Mar 2025,promotion
Trickeye Singapore,Enjoy up to 28% off Trickeye Singapore + Cable Car tickets,Until 31 Mar 2025,promotion
Trickeye Singapore,Enjoy up to 25% off Trickeye Singapore tickets,Until 31 Mar 2025,promotion
Sentosa 4D AdventureLand: Immersive 4D Rides & Shows,Enjoy up to 20% off  Sentosa 4D AdventureLand tickets,Until 31 Mar 2025,promotion
Scentopia,Islander exclusive: Enjoy up to 40% off Scentopia tickets,Until 31 Mar 2025,promotion
Madame Tussauds Singapore,Islander Exclusive: Enjoy up to 27% off Madame Tussauds Singapore tickets,Until 31 Mar 2025,promotion
